true_label,predicted_label,correct,prob_No DR,prob_Mild,prob_Moderate,prob_Severe,prob_Proliferative DR
0,0,1,0.9997758,0.00014035963,8.157597e-05,6.862238e-08,2.2951779e-06
1,0,0,0.50770324,0.17890412,0.2438867,0.02306038,0.04644558
3,2,0,0.007706527,0.11672505,0.60298926,0.14638884,0.1261903
4,2,0,0.005099242,0.053738106,0.39644578,0.26750556,0.2772113
0,0,1,0.9986958,0.0006921072,0.0005780787,1.9210802e-06,3.197306e-05
0,0,1,0.9987908,0.00055727304,0.00060400163,2.5437262e-06,4.539375e-05
0,0,1,0.9935314,0.005100141,0.0013122715,3.955412e-06,5.2214404e-05
4,2,0,0.0018294797,0.11348761,0.7005145,0.09585787,0.08831053
2,2,1,5.7571568e-05,0.010364413,0.4830715,0.27960628,0.22690018
2,2,1,0.00026047655,0.022781348,0.5151358,0.24776578,0.21405661
0,0,1,0.9960018,0.0022641746,0.0015968332,1.08975955e-05,0.00012636953
0,0,1,0.9970499,0.001656274,0.0012122315,5.7444254e-06,7.5867465e-05
2,2,1,1.9509298e-05,0.005108198,0.4313896,0.30812755,0.25535512
2,2,1,0.004741881,0.116450764,0.5895876,0.14637184,0.14284791
2,2,1,0.31278467,0.23709927,0.3551305,0.03585075,0.05913482
0,0,1,0.9977393,0.0015850385,0.000648112,1.591258e-06,2.5910587e-05
0,0,1,0.98445374,0.008025947,0.0067373817,9.342548e-05,0.0006895043
0,0,1,0.99834216,0.0011002676,0.0005316033,1.3793184e-06,2.4518913e-05
0,0,1,0.98342174,0.007995703,0.007696164,0.00011533912,0.000771213
0,0,1,0.99541336,0.002809078,0.0016660214,8.6555565e-06,0.00010284067
0,0,1,0.99924976,0.0004482287,0.00028898672,5.5972e-07,1.2404705e-05
0,0,1,0.99971956,0.00013206936,0.00014219587,2.157964e-07,5.974572e-06
4,2,0,0.0066380943,0.1132397,0.6121164,0.14435783,0.12364797
1,2,0,0.0028037436,0.33535665,0.6263667,0.015327752,0.020145247
1,2,0,0.03904499,0.43667042,0.45467478,0.024632167,0.04497757
2,2,1,0.12936917,0.21504767,0.5184635,0.060428962,0.07669067
2,2,1,0.0020748412,0.11491178,0.68402904,0.102030896,0.096953444
1,1,1,0.0672488,0.75389004,0.17220514,0.0010002789,0.005655852
1,2,0,0.072911456,0.23533688,0.6081764,0.034610588,0.0489647
0,0,1,0.98342794,0.0046665138,0.010756826,0.00014206025,0.0010066916
2,2,1,0.005772854,0.22561276,0.6955759,0.03766209,0.035376396
2,2,1,0.008205793,0.16924484,0.6060398,0.109382175,0.10712735
0,0,1,0.99800354,0.0011007276,0.00084116776,3.435006e-06,5.118278e-05
0,0,1,0.996612,0.0021557696,0.0011582911,5.3522404e-06,6.868937e-05
0,0,1,0.9763539,0.011455612,0.010974097,0.00016978697,0.001046553
4,2,0,0.04615628,0.15771677,0.5567249,0.120159276,0.119242825
0,0,1,0.9762725,0.008286209,0.012943819,0.00036169635,0.002135673
0,0,1,0.97807753,0.013708677,0.007611393,8.3284845e-05,0.00051903084
2,2,1,1.7939246e-05,0.011204248,0.6936737,0.18039,0.114714116
0,0,1,0.99603385,0.0022849177,0.0015647,8.677157e-06,0.000107763604
4,4,1,0.005254297,0.035966106,0.30038705,0.3036436,0.35474896
4,4,1,0.00027486257,0.004448137,0.18630528,0.3592292,0.4497425
0,0,1,0.9991128,0.00047458484,0.00038861582,1.1628581e-06,2.2875096e-05
1,0,0,0.92899835,0.024959195,0.039659437,0.0011824932,0.0052005737
2,2,1,0.00028655707,0.062581345,0.7710826,0.09111906,0.074930504
4,4,1,0.004378461,0.0067910254,0.15076174,0.30205446,0.53601426
0,0,1,0.99962175,0.0002257211,0.00014760734,1.7145716e-07,4.6939044e-06
3,4,0,0.00068924646,0.005756616,0.18092425,0.36566898,0.44696093
0,0,1,0.99556017,0.0024415136,0.0018445733,1.2224518e-05,0.00014154943
2,2,1,0.00096661877,0.051332228,0.6113812,0.18048632,0.15583374
0,0,1,0.99757296,0.0013034977,0.001067168,3.6893884e-06,5.270966e-05
2,2,1,2.6351598e-05,0.014011919,0.68738616,0.17970288,0.11887264
0,0,1,0.9973598,0.0012150491,0.0013032217,8.778896e-06,0.00011324028
3,2,0,0.00016401192,0.023975322,0.5959637,0.20427151,0.17562538
0,0,1,0.9931409,0.0036969027,0.002880833,2.5862499e-05,0.00025558815
2,2,1,0.013219721,0.27673432,0.55870515,0.06895815,0.082382664
0,0,1,0.9936272,0.0030094439,0.0030002792,3.4532786e-05,0.0003285814
0,0,1,0.9994727,0.00029442602,0.00022290052,3.7939785e-07,9.600121e-06
2,2,1,0.0017865959,0.1084667,0.6830465,0.10703094,0.09966923
2,2,1,0.0042631077,0.11836955,0.64365673,0.12545075,0.108259946
4,2,0,0.022696218,0.17777567,0.59584105,0.107534975,0.096152134
3,2,0,6.78689e-07,0.0020013207,0.59808546,0.25215507,0.1477575
2,2,1,0.0034444837,0.15905821,0.66902363,0.08452036,0.083953284
0,0,1,0.9567295,0.025090756,0.01650015,0.00028996696,0.0013896688
2,2,1,0.008149098,0.1888039,0.6243678,0.08916391,0.089515395
0,0,1,0.9979552,0.0011754453,0.00081461645,3.3666918e-06,5.1344272e-05
0,0,1,0.9908601,0.0067886957,0.0022223897,1.130182e-05,0.0001174254
0,0,1,0.9942086,0.0025596544,0.0029314903,2.6881684e-05,0.00027345365
0,0,1,0.99602544,0.001840028,0.0019467699,1.4938591e-05,0.0001727583
0,0,1,0.9965773,0.0015194213,0.0017127407,1.401811e-05,0.00017642522
1,1,1,0.026424384,0.7356514,0.23062491,0.001379256,0.0059200716
0,0,1,0.99979156,0.00012867458,7.881053e-05,3.92309e-08,9.32437e-07
2,2,1,0.000105555555,0.012843565,0.49925438,0.26878127,0.21901521
2,2,1,0.0038482228,0.25180358,0.67507315,0.033403408,0.035871625
2,2,1,0.015784,0.4332025,0.4982656,0.020518174,0.032229695
0,0,1,0.99640816,0.0027292925,0.00082677125,2.3874222e-06,3.3367276e-05
0,0,1,0.99907255,0.0004925281,0.00041197633,1.118399e-06,2.1743961e-05
0,0,1,0.9978181,0.0015339316,0.0006213664,1.4652489e-06,2.5095705e-05
2,2,1,0.0025725563,0.13416232,0.6883113,0.090466365,0.084487505
0,0,1,0.99799407,0.0011548096,0.00079661584,3.446872e-06,5.109529e-05
0,0,1,0.9945891,0.0026859588,0.002458376,2.3693457e-05,0.00024277468
0,0,1,0.9961612,0.0022413488,0.0014985352,7.3066476e-06,9.1577625e-05
2,2,1,2.5038586e-05,0.0146209765,0.69757366,0.16854222,0.119238086
1,2,0,0.019628942,0.43244746,0.5009421,0.01736339,0.029618103
2,2,1,0.00065375876,0.035564203,0.5620464,0.222154,0.17958161
2,2,1,0.00076914567,0.041781228,0.55311406,0.21703173,0.18730384
0,0,1,0.992,0.00510791,0.0027132884,1.57409e-05,0.00016312694
2,2,1,0.000587645,0.02186122,0.4295524,0.27687174,0.271127
0,0,1,0.99257505,0.004121032,0.0030399451,2.4658324e-05,0.00023927889
0,0,1,0.9508221,0.043513246,0.0054571885,1.2380854e-05,0.00019510176
4,2,0,5.2789903e-05,0.0074405237,0.4238444,0.31129107,0.25737122
0,0,1,0.9945167,0.0029858002,0.002282668,1.8708522e-05,0.00019612713
0,0,1,0.9973705,0.0016256677,0.0009472954,3.60908e-06,5.296984e-05
4,2,0,0.0015111906,0.17175207,0.74398696,0.042985704,0.03976403
2,2,1,0.0006071267,0.04935545,0.66487074,0.15655369,0.128613
0,0,1,0.9945168,0.0032145719,0.0021120827,1.2673945e-05,0.00014393746
